TweetsAgo,Target,User,Date,Positive,Neutral,Negative,Compound,Text
100,BBCNews,BBC News (UK),2018-06-05 11:50:49+00:00,0.202,0.743,0.055,0.578,"RT @bbclaurak: And least surprising story of the day, Cabinet has approved Heathrow expansion - (again) - but this is a bit like outline pl…"
99,BBCNews,BBC News (UK),2018-06-05 11:57:55+00:00,0.188,0.812,0.0,0.4019,"""This is a project with benefits that reach far beyond London""

Transport Sec Chris Grayling says Heathrow Airport… https://t.co/LslhFDv41K"
98,BBCNews,BBC News (UK),2018-06-05 12:01:35+00:00,0.0,1.0,0.0,0.0,Loris Karius: Liverpool keeper referred for concussion tests by club https://t.co/Mm7Ntv81QR
97,BBCNews,BBC News (UK),2018-06-05 12:22:27+00:00,0.0,1.0,0.0,0.0,Syphilis and gonorrhoea cases up by one-fifth https://t.co/hvcdIY3dvg
96,BBCNews,BBC News (UK),2018-06-05 12:24:46+00:00,0.0,1.0,0.0,0.0,Tesco Bank hit by online glitch https://t.co/04VWMMn9Z7
95,BBCNews,BBC News (UK),2018-06-05 12:31:00+00:00,0.098,0.902,0.0,0.3612,"RT @BBCSport: Andy Murray is ""hoping"" to be fit to return for the grass-court season, with further clarification expected in the next 24 ho…"
94,BBCNews,BBC News (UK),2018-06-05 12:36:21+00:00,0.0,1.0,0.0,0.0,"Only a man can run an airline, says Qatar boss https://t.co/E7p46UQX25"
93,BBCNews,BBC News (UK),2018-06-05 12:38:44+00:00,0.167,0.833,0.0,0.2023,Floyd Mayweather regains title as world's top earning athlete https://t.co/y1xNi3rnlc
92,BBCNews,BBC News (UK),2018-06-05 12:38:44+00:00,0.0,1.0,0.0,0.0,Saudi Arabia issues first driving licences to women https://t.co/Bv7GB9loiY
91,BBCNews,BBC News (UK),2018-06-05 12:43:31+00:00,0.12,0.88,0.0,0.3527,"How well do you know England? Can you recognise the location from their descriptions? 

Take our quiz ➡️… https://t.co/dBCVlvR4Bz"
90,BBCNews,BBC News (UK),2018-06-05 12:43:43+00:00,0.375,0.625,0.0,0.6369,Who are anti-Brexit group Best for Britain? https://t.co/TseScURN7k
89,BBCNews,BBC News (UK),2018-06-05 12:57:44+00:00,0.0,1.0,0.0,0.0,Ben Lecomte's bid to be the first to swim the Pacific Ocean https://t.co/tmFIYQpmg1
88,BBCNews,BBC News (UK),2018-06-05 13:00:32+00:00,0.278,0.722,0.0,0.4019,Royal wedding choir on gospel music boost https://t.co/XxhVyZRdVc
87,BBCNews,BBC News (UK),2018-06-05 13:10:47+00:00,0.194,0.806,0.0,0.5859,RT @bbcweather: Dry and increasingly sunny for many of us this afternoon. Cloudy in the SW with a chance of a shower. Jo https://t.co/tgZF3…
86,BBCNews,BBC News (UK),2018-06-05 13:22:14+00:00,0.0,1.0,0.0,0.0,World Cup 2018: Leroy Sane says he will 'bounce back' after Germany omission https://t.co/OCTdE6J9Hw
85,BBCNews,BBC News (UK),2018-06-05 13:25:10+00:00,0.157,0.843,0.0,0.0772,Government clears way for Fox's Sky deal https://t.co/H7l2rbJTYW
84,BBCNews,BBC News (UK),2018-06-05 13:26:11+00:00,0.14,0.86,0.0,0.0772,"Government clears way for Fox's Sky deal

https://t.co/HG7pBxvTL9 https://t.co/neBjMl9XLj"
83,BBCNews,BBC News (UK),2018-06-05 13:27:33+00:00,0.23,0.608,0.162,0.25,Roma fined following crowd disturbances at Liverpool Champions League tie https://t.co/sWUdqD3zme
82,BBCNews,BBC News (UK),2018-06-05 13:53:12+00:00,0.0,1.0,0.0,0.0,Ginger emojis make their debut https://t.co/brCORFFeae
81,BBCNews,BBC News (UK),2018-06-05 13:55:47+00:00,0.0,0.811,0.189,-0.1027,Gordon Brown warns of Brexit 'paralysis' https://t.co/UvwfuDQWkV
80,BBCNews,BBC News (UK),2018-06-05 13:55:47+00:00,0.0,1.0,0.0,0.0,Dani Dyer and other daughters named after their fathers https://t.co/1D8LKJcwWg
79,BBCNews,BBC News (UK),2018-06-05 14:04:05+00:00,0.0,0.814,0.186,-0.1531,Miss America waves bye bye to bikinis https://t.co/QuCdzUcV38
78,BBCNews,BBC News (UK),2018-06-05 14:09:33+00:00,0.2,0.593,0.207,-0.0258,Iran to boost uranium enrichment if nuclear deal fails https://t.co/2x5NxeRZOu
77,BBCNews,BBC News (UK),2018-06-05 14:18:01+00:00,0.503,0.497,0.0,0.7244,Weinstein pleads not guilty to rape charge https://t.co/oKEfSC7kLH
76,BBCNews,BBC News (UK),2018-06-05 14:20:46+00:00,0.151,0.849,0.0,0.5994,"RT @BBCSport: Everyone's been loving Nigeria's kit 🔥

Here are the rest of the home shirts each team will be wearing in Russia.

👉 https://…"
75,BBCNews,BBC News (UK),2018-06-05 14:42:26+00:00,0.0,0.667,0.333,-0.5423,Crocodile kills Ethiopian pastor during lake baptism https://t.co/9she2TOIWZ
74,BBCNews,BBC News (UK),2018-06-05 14:47:46+00:00,0.398,0.602,0.0,0.6486,Fred: Manchester United agree deal for Shakhtar Donetsk midfielder https://t.co/gQOL5Qf1Sg
73,BBCNews,BBC News (UK),2018-06-05 14:53:10+00:00,0.307,0.693,0.0,0.7964,RT @BBCRealityCheck: Who's got better odds: applicants to Oxbridge or for the reality show Love Island? #loveisland https://t.co/B8OKZeItJz
72,BBCNews,BBC News (UK),2018-06-05 15:00:59+00:00,0.099,0.901,0.0,0.0258,Bestival to provide drug testing in attempt to prevent deaths https://t.co/O5f8k2zGub
71,BBCNews,BBC News (UK),2018-06-05 15:05:55+00:00,0.13,0.87,0.0,0.4019,"RT @BBCPolitics: Ex-prime minister Gordon Brown tells @bbclaurak Britain could be ""paralysed"" for years because Westminster parties have no…"
70,BBCNews,BBC News (UK),2018-06-05 15:15:59+00:00,0.0,0.781,0.219,-0.4215,Sergio Ramos: Mohamed Salah 'arm grab' led to shoulder injury https://t.co/3McTkvRAkc
69,BBCNews,BBC News (UK),2018-06-05 15:28:04+00:00,0.0,0.435,0.565,-0.8316,Rail crisis: Your train journey horror stories https://t.co/YNplf5bsmm
68,BBCNews,BBC News (UK),2018-06-05 15:42:02+00:00,0.0,1.0,0.0,0.0,English identity: Your questions about patriotism https://t.co/A16YuMvBtd
67,BBCNews,BBC News (UK),2018-06-05 16:21:17+00:00,0.0,0.583,0.417,-0.6486,Fashion designer Kate Spade found dead https://t.co/EXfkHIMhYq
66,BBCNews,BBC News (UK),2018-06-05 16:35:55+00:00,0.0,0.694,0.306,-0.296,Cuts to sexual-health services imminent https://t.co/WiHrI1jrhx
65,BBCNews,BBC News (UK),2018-06-05 16:38:15+00:00,0.0,0.517,0.483,-0.6808,Terror suspect 're-armed' after mother found knives https://t.co/ksud7p3aCf
64,BBCNews,BBC News (UK),2018-06-05 16:54:38+00:00,0.223,0.777,0.0,0.3182,When is it acceptable to wear a flat cap? https://t.co/GQvRXwWAye
63,BBCNews,BBC News (UK),2018-06-05 16:54:38+00:00,0.1,0.9,0.0,0.0572,Karen Bradley says Northern Ireland abortion law should not be imposed https://t.co/ukDFyEn0UL
62,BBCNews,BBC News (UK),2018-06-05 17:05:27+00:00,0.096,0.904,0.0,0.3254,"RT @amolrajanBBC: 1/ SCOOP: From September, @Peston’s Sunday show on ITV will move to Wednesday evenings. It will follow the news at around…"
61,BBCNews,BBC News (UK),2018-06-05 17:21:07+00:00,0.193,0.6,0.207,-0.0516,Keith Wyness: Aston Villa chief executive suspended by Championship club https://t.co/Lhy8YsXwcA
60,BBCNews,BBC News (UK),2018-06-05 17:32:40+00:00,0.08,0.73,0.19,-0.3612,French Open 2018: Marco Cecchinato shocks Novak Djokovic to reach semi-finals https://t.co/n9lMePAQ8T
59,BBCNews,BBC News (UK),2018-06-05 17:46:40+00:00,0.0,1.0,0.0,0.0,Brexit: Labour amendment seeks 'full access' to EU market https://t.co/V74qKxVVdA
58,BBCNews,BBC News (UK),2018-06-05 17:50:49+00:00,0.0,1.0,0.0,0.0,"One in, one out.🕺 https://t.co/OCtHUemlD2"
57,BBCNews,BBC News (UK),2018-06-05 18:19:48+00:00,0.0,1.0,0.0,0.0,MPs hold highly-charged Northern Ireland abortion laws debate https://t.co/CvEOAUFsQE
56,BBCNews,BBC News (UK),2018-06-05 18:26:52+00:00,0.0,1.0,0.0,0.0,Salad Cream: Heinz 'considers Sandwich Cream re-brand' https://t.co/bKoG2uqaGz
